iso3,health,nutrition,wash,education,protection,poverty,survival
ROU,2.4661768842691467,1.3319672131147542,0.6918081003117604,1.4882845350175316,0.9078947368421053,0.0,0.4798264921242068
RUS,0.13769901114380062,,0.8663245735514971,0.08264015728766635,0.8157894736842105,0.0,0.2755910385048345
RWA,1.855270175503292,3.4660421545667446,5.947458117125541,5.760264325197047,0.7236842105263158,6.20249520778656,3.526886599790093
SAU,0.13769901114380062,2.295081967213115,0.38528816055164583,3.179705402008167,,6.98,0.47853097263793715
SEN,3.0192753455757364,4.654566744730679,5.18781219071725,6.693027950526057,4.801450742240216,5.8763349246978756,3.3239747670604767
SGP,0.0,0.36885245901639346,0.0,0.04001028250340396,0.013157894736842105,7.220000000000001,0.060698579014869296
SLB,2.2292067405014575,5.860655737704918,6.600277813634376,,2.8026315789473686,,1.7706415940120073
SLE,3.315056971029956,5.826697892271662,7.959286897093372,4.274018059604179,5.049932523616734,7.361211023330688,8.821319542041461
SLV,0.26022229618444087,1.0230679156908664,0.9100594945088971,4.051680504598842,2.0524628879892037,6.118788576126098,0.8227289085266385
SMR,0.8199914087031722,,0.0,,,,0.0
SOM,9.53211735369595,5.871311475409836,7.382874646135305,,5.9605263157894735,,9.80662316578776
SRB,0.37336177425596606,0.39836065573770485,0.3872635985563879,0.2206362843060194,1.4515856950067476,6.74,0.3413370038794966
STP,1.9997548392433608,2.415925058548009,4.838430606610907,2.4202019927004925,3.0600539811066128,7.469176664352417,1.1347068189236997
SUR,2.22328383940824,1.86288056206089,1.5334150607256318,3.0905378136261,2.7914979757085017,2.9838796782493593,1.3113312548605491
SVK,0.27539802228760124,,0.16291358571796555,2.0680192213225976,,0.0,0.4183423672220218
SVN,1.023438596339057,,0.14067865716630654,0.45611641617625065,,0.0,0.07516424680906601
SWE,0.4068943752717711,,0.08865577091539044,0.24569537816576129,,0.0,0.09531086845378482
SWZ,1.8540436843835362,2.320608899297424,5.642823240374499,2.9338560570313157,1.7403846153846154,6.07721360206604,3.9405865108929627
SYC,0.06574817649208493,1.2295081967213115,0.29332336586134766,,,9.65,1.1972779739800592
SYR,3.437906208805553,4.650936768149883,1.096114251141963,,1.75,,1.7394612842764408
TCD,7.321447149015331,4.357903981264637,8.772860670057838,9.28087318903086,8.85863697705803,9.809822769165038,9.478124947005925
TGO,3.712784671169457,4.176170960187354,7.8156277293774705,5.406912909879727,6.439271255060729,5.374268436431885,5.310672999373922
THA,0.4069708747224065,2.0360655737704922,0.5916436433633935,1.2610918877691184,2.236842105263158,3.7660736775398256,0.7058111601127791
TJK,0.24430823758184847,4.040690866510539,2.1123471336940214,0.56260480942001,1.144736842105263,5.8992608499526975,2.2873511269421214
TKM,0.0,0.892096018735363,0.007156443669230052,0.04422405600362092,0.40131578947368424,4.440320545434952,3.3811887878496614
TLS,2.8527496718698218,6.82652224824356,4.989510525750857,2.3524175977419137,2.0315452091767883,5.311432209014892,4.506528325728462
TON,0.0,0.5900468384074942,1.374078871394303,2.082952186161596,3.8824224021592446,10.0,0.7629128636431904
TTO,0.14462836142561822,1.557377049180328,0.6676729012691834,1.0873476254484826,0.6993927125506073,8.19,1.6164219884012352
TUN,0.06574817649208493,1.1510538641686183,0.8353236252683279,3.4744093801769087,0.19736842105263158,3.95141280412674,1.091246384328485
TUR,0.042172255296866745,0.8811475409836066,0.2879380938072398,0.890578666842876,1.3260796221322537,6.26,1.0928521696942097
TUV,0.19724452947625482,1.2098360655737705,0.911369362548299,2.195485005309065,0.5030364372469636,10.0,1.6478318594685224
TZA,2.540181092552649,4.005152224824356,7.495697238103386,8.156173640036625,4.965755735492578,4.382542133331299,3.4124140989421567
UGA,2.9702422408456104,3.260304449648712,7.88411546294665,6.686457402734607,4.429149797570851,4.024535655975342,3.374312901102478
UKR,1.0631563949486282,2.274590163934427,0.658181613445032,0.909040876196133,1.1973684210526316,0.0,0.6018989837026438
URY,0.1594349212790633,0.8020491803278689,0.13921757255557846,3.112661789822975,2.0286774628879893,3.4400000000000004,0.46749906299893185
USA,0.26299270596833974,0.4918032786885247,0.024692539420350035,0.7235777419433876,,1.7599999999999998,0.4665819468349563
UZB,0.053673779468739954,0.8983021077283373,1.0078928115288694,3.1753457569627748,2.7365047233468287,4.9,1.0431912648854733
VCT,0.26299270596833974,,0.7942135994638936,,,9.88,0.8464976738169123
VEN,5.267297309158348,1.9057377049180328,0.6409301993357294,,,,2.1164914891532574
VNM,3.100836858149037,2.5402224824355972,0.8363929038007486,1.373393772892961,1.71693657219973,9.86,1.5229303141640633
VUT,2.954681112937998,6.188524590163935,3.4608214839502844,,2.8157894736842106,8.71,1.449147098336008
WSM,1.035222078162945,1.4995316159250587,1.1688007128791145,0.3501276182178323,2.1406882591093117,10.0,1.2958069428355354
YEM,7.364254397976893,5.6590749414519905,5.762259447135371,6.776730956847375,3.857624831309042,6.632776260375977,3.4673754225079083
ZAF,2.4098082743230362,3.1559718969555037,3.2342951712574735,3.425270810733767,0.47368421052631576,2.5742772150039674,3.1015210750730633
ZMB,3.9692883878701277,4.6014051522248245,7.261969865198762,6.4563143908679805,4.728407557354926,6.129016008377075,3.9734650354356416
ZWE,2.671763678560044,3.9687353629976583,6.756471059406337,3.9442480209844777,5.665823211875844,7.007434511184693,3.8537871128409975
COK,1.5072459327902474,,0.8620929483165435,,,,1.1797752001413506
NIU,0.0,,0.39686194367552313,,,,2.0564768809119274
