iso3,threshold,score,rank
FRA,0.30000000000000004,0.7274711855044851,177.0
FSM,0.30000000000000004,1.4601793519115271,151.0
GAB,0.30000000000000004,3.501021725155246,75.0
GBR,0.30000000000000004,0.966123537333008,162.0
GEO,0.30000000000000004,2.154584105317717,116.0
GHA,0.30000000000000004,4.632590185818535,43.0
GIN,0.30000000000000004,6.025468563701969,14.0
GMB,0.30000000000000004,4.093116717958815,58.0
GNB,0.30000000000000004,4.939095243342113,38.0
GNQ,0.30000000000000004,3.898467134600584,63.0
GRC,0.30000000000000004,1.9054457492405572,129.0
GRD,0.30000000000000004,0.7703527779757431,173.0
GTM,0.30000000000000004,4.622228288838459,44.0
GUY,0.30000000000000004,2.255774329155669,112.0
HND,0.30000000000000004,4.421522732089628,49.0
HRV,0.30000000000000004,1.7664349916187756,140.0
HTI,0.30000000000000004,4.581262189871729,46.0
HUN,0.30000000000000004,0.5783858598271217,181.0
IDN,0.30000000000000004,5.021171723466539,37.0
IND,0.30000000000000004,6.013320485294833,15.0
IRL,0.30000000000000004,0.8336436684640187,171.0
IRN,0.30000000000000004,4.211601646755833,55.0
IRQ,0.30000000000000004,3.845632033141273,64.0
ISL,0.30000000000000004,1.011964304243514,160.0
ISR,0.30000000000000004,0.8935505973346144,166.0
ITA,0.30000000000000004,0.7604420038291035,174.0
JAM,0.30000000000000004,2.0269084215677955,119.0
JOR,0.30000000000000004,2.8728671397567567,92.0
JPN,0.30000000000000004,1.5740056717413569,147.0
KAZ,0.30000000000000004,2.1881231156230303,115.0
KEN,0.30000000000000004,5.114663733215514,35.0
KGZ,0.30000000000000004,2.278292989030462,111.0
KHM,0.30000000000000004,5.946506801403464,17.0
KIR,0.30000000000000004,1.773806388551904,139.0
KNA,0.30000000000000004,1.6818530484293708,144.0
KOR,0.30000000000000004,2.0639484915054833,117.0
KWT,0.30000000000000004,3.352418442873369,80.0
LAO,0.30000000000000004,5.532737631618761,24.0
LBN,0.30000000000000004,2.3237874941075667,108.0
LBR,0.30000000000000004,5.028254137576834,36.0
LBY,0.30000000000000004,3.297744700534264,82.0
LCA,0.30000000000000004,1.5061607702101327,150.0
LKA,0.30000000000000004,2.7603497019410286,96.0
LSO,0.30000000000000004,2.749824992262789,97.0
LTU,0.30000000000000004,0.7168572696980563,178.0
LUX,0.30000000000000004,0.15921274912325475,192.0
LVA,0.30000000000000004,0.822775137835474,172.0
MAR,0.30000000000000004,4.853993131628651,39.0
MCO,0.30000000000000004,9.999999999999996e-11,193.0
MDA,0.30000000000000004,2.2016830188139322,114.0
MDG,0.30000000000000004,7.758536585444045,1.0
MDV,0.30000000000000004,0.7124169970526846,179.0
MEX,0.30000000000000004,4.062878347589352,59.0
MHL,0.30000000000000004,1.847610372505786,134.0
MKD,0.30000000000000004,1.9419572315800102,124.0
MLI,0.30000000000000004,5.700039586944847,20.0
MLT,0.30000000000000004,0.9183483312512664,165.0
MMR,0.30000000000000004,6.7827853375933005,7.0
MNE,0.30000000000000004,1.7551644467166796,141.0
MNG,0.30000000000000004,1.9423828185364622,123.0
MOZ,0.30000000000000004,7.358112790426592,3.0
MRT,0.30000000000000004,5.516292204794049,25.0
MUS,0.30000000000000004,1.870538181286361,131.0
MWI,0.30000000000000004,3.8138456122979183,65.0
MYS,0.30000000000000004,4.02850525989076,60.0
NAM,0.30000000000000004,4.32286455585545,52.0
NER,0.30000000000000004,6.350432780797697,10.0
NGA,0.30000000000000004,6.636716239210802,8.0
NIC,0.30000000000000004,4.525303040238812,47.0
NLD,0.30000000000000004,0.8681537214165524,169.0
