ISO3,name,ucode,pop_exposed_total,pop_River_Flood,pop_Coastal_Flood,pop_Tropical_Storm,pop_Drought,pop_Heatwave,pop_Extreme_Heat,pop_Fire,pop_Sand_and_Dust_Storm
JAM,Jamaica,JAM_V1,670195.528554359,5589.6755215704725,5363.779361231106,670195.528554359,290663.9794804378,670195.528554359,0.0,45777.587305917754,22.303942017257214
JOR,Jordan,JOR_V1,4190651.778398254,10958.667146077429,18.550647350853563,0.0,1703726.109598693,3731871.62651979,3787331.409535096,144475.7825242367,1049299.7229498283
KGZ,Kyrgyzstan,KGZ_V1,2447518.30300955,61352.94755476741,0.0,0.0,2022415.088940969,1146549.6557001804,212278.0399263909,123125.27066755967,105141.089093602
KHM,Cambodia,KHM_V1,6211073.519216783,2063897.9945396185,4764.204280737525,6198488.8217450995,4764567.896275609,6169401.571708716,5900311.322622132,993929.4122062552,66129.50728392598
KIR,Kiribati,KIR_V1,47880.79698800456,0.0,8511.055286759723,0.0,47880.79698800456,45557.42543930883,0.0,0.0,3490.8617573060237
KNA,Saint Kitts and Nevis,KNA_V1,10330.212328543304,0.0,5.4686119836627265,10330.212328543304,6922.694984684157,10330.212328543304,0.0,0.0,0.0
KOR,Republic of Korea,KOR_V1,6896341.956503681,575955.3412162447,71299.15514334505,6896341.956503681,334111.40687908506,1646279.261052254,0.0,208290.87389382714,10369.607328769926
KWT,Kuwait,KWT_V1,906687.476520176,84810.41130215152,15133.954921145134,0.0,14637.296462460843,892167.4159985242,892167.4159985242,71776.7323465203,258790.06036516232
LAO,Lao People's Democratic Republic,LAO_V1,2800022.6609057416,516962.7269284754,0.0,1747251.8404434116,1019664.0738057689,2752577.9185115458,1503507.3665400909,1481900.728751092,6353.898358068234
LBN,Lebanon,LBN_V1,1012878.6015753855,3728.1959055534526,2542.8201944741104,0.0,902294.8445615198,271750.5409172827,2452.3156654199183,131940.44355559416,43014.398218934235
LBR,Liberia,LBR_V1,2380972.296766883,619413.8560256782,3390.6408508771256,0.0,943216.7653438152,2061427.1371178506,939.0701634232604,497380.2920039447,1296.855665003596
LCA,Saint Lucia,LCA_V1,38970.55219592213,0.0,56.94402759826066,38970.55219592213,9341.359635893445,38970.55219592213,0.0,0.0,0.0
LIE,Liechtenstein,LIE_V1,6873.413461724143,1468.6311977672844,0.0,0.0,1974.9813583513824,6873.413461724143,0.0,0.0,0.0
LKA,Sri Lanka,LKA_V1,6178797.189816448,408611.1922121678,4739.994870039251,6178797.189816448,707951.4790017275,5325771.647295099,1614461.578434261,77722.60835786446,2734.22981920888
LSO,Lesotho,LSO_V1,953854.1608606564,5240.650227913594,0.0,0.0,706543.2556427362,953854.1608606564,0.0,45392.33644007659,14942.430763550336
LTU,Lithuania,LTU_V1,500465.42927987454,10805.03434594096,1066.2593780726086,0.0,288457.2844050237,497925.04002811736,0.0,6558.989142990218,0.6788000031374395
LUX,Luxembourg,LUX_V1,125873.69834190253,2901.892515566534,0.0,0.0,429.7015745672744,125873.69834190253,0.0,9896.655169200898,0.0
LVA,Latvia,LVA_V1,337059.9117526108,60917.53383742416,904.164021113292,0.0,46704.61358810971,328475.86441452464,0.0,9909.480339366928,137.94177603029425
MCO,Monaco,MCO_V1,147.47680113549328,0.0,0.0,0.0,0.0,147.47680113549328,0.0,0.0,0.0
MDA,Moldova,MDA_V1,714909.3111790904,23872.31904194581,0.0,0.0,537220.1602775921,714378.4558782023,0.0,57501.06726623664,159.03374206181616
MDV,Maldives,MDV_V1,59430.063810975305,0.0,0.0,0.0,59430.063810975305,59430.063810975305,0.0,0.0,18259.201785117388
MHL,Marshall Islands,MHL_V1,14188.943162700267,0.0,5447.304449669025,14068.179377931674,14188.943162700267,11332.486451837125,0.0,0.0,0.0
MKD,North Macedonia,MKD_V1,361521.1343544066,25021.60152074279,0.0,0.0,276672.6890270696,350058.83894160343,11285.650702215391,39579.49545236003,18.906869972590357
MLT,Malta,MLT_V1,78100.85500893209,0.0,41.879202925457676,0.0,69409.22296599089,61022.09343444797,0.0,9839.633484140038,840.2963438282411
MNE,Montenegro,MNE_V1,132352.03363970213,7475.968183391048,349.8543421971155,0.0,39531.332770683046,124366.4824712885,0.0,19306.628040280317,7.462020084261894
MUS,Mauritius,MUS_V1,241166.14855726768,0.0,0.0,241166.14855726768,136715.73066205412,239376.9258886487,0.0,22517.917088070884,0.0
MWI,Malawi,MWI_V1,9709514.126590472,133167.47760285222,0.0,0.0,8430297.32873545,7223650.892895734,734796.9448587658,709354.385574631,1948.7569747892228
NIC,Nicaragua,NIC_V1,2383014.4892182318,47060.832716444565,7399.254427243163,2383014.4892182318,1037246.4721375059,2322642.1829295084,686308.0425233068,177050.1470980432,42.710084727070495
NLD,Netherlands,NLD_V1,3240895.4439308895,818753.3124481128,1542813.070820792,0.0,466618.5367908597,2994228.048336867,0.0,61347.23352651356,968.1090192758606
NPL,Nepal,NPL_V1,7903126.417839889,619595.4214612306,0.0,0.0,6520761.089961207,512598.9817903185,6098869.195744928,276945.35193662543,4005.352956322127
NRU,Nauru,NRU_V1,5066.387860989879,0.0,0.0,0.0,5066.387860989879,4613.708451021903,0.0,0.0,0.0
NZL,New Zealand,NZL_V1,1136455.480614322,28145.8897715199,2749.255377937795,1136455.480614322,93626.75754749033,630082.0577633579,0.0,44849.30932411971,1391.4972512213017
PAN,Panama,PAN_V1,1175246.2610095134,65967.71165405729,4283.978479445242,0.0,268826.1746717014,1126123.07863681,24218.938459203233,34432.09068093716,182.47150791649543
