rfl_rel,cfl_rel,ts_rel,agdr_rel,metdr_spei_rel,metdr_spi_rel,hw_fre_rel,hw_dur_rel,hw_sev_rel,ext_rel,fr_fre_rel,fr_int_rel,sds_rel,iso3,SIDS
-1.4058583,0.23699361,0.43614453,-4.3510747,0.15447406,-0.056527466,-1.4054812,-0.106037825,-1.5091723,-15.915024,-3.077122,-1.8559064,-0.3065973,BRB,True
-0.29965064,-0.12185488,-0.08044727,3.9796925,-0.6047572,-0.4680271,0.40230182,0.29364422,-4.9110746,20.151777,-4.7506127,1.4253638,0.5623291,CYP,False
-1.4527818,-0.4926055,0.22083709,-4.9568787,-0.301982,-0.036807943,-1.2908853,-0.8290019,-1.1278613,-13.564301,-1.0870389,-0.51925576,-0.15169473,CRI,False
-1.5461679,0.32153523,0.70356965,-6.225267,0.005894528,-0.06375482,-0.20827721,-0.12057365,-1.8030032,-16.689463,-2.1219227,-0.26311508,-0.91854316,CPV,True
1.1785307,-0.009125558,-0.08653313,-2.454704,-0.58895457,0.03518187,0.056709997,0.60440576,-0.5146433,-9.736074,8.757209,-1.3353748,0.3287584,COG,False
0.7589839,-0.62928975,0.4853056,-2.3103938,-0.23405626,0.5474813,-0.08960957,0.37739334,-0.6011505,-4.008769,-2.0662134,1.4180251,-0.46342334,COL,False
-1.4016161,0.23585194,0.40702698,-4.352826,0.03892327,-0.045882404,-1.4406198,-0.012455304,-1.5783329,-15.919847,-3.1264,-1.8917149,-0.31318048,COM,True
0.92451084,0.08309105,-0.11881118,-6.2922754,-0.080852605,0.6882073,-0.93787396,0.3857976,-0.20822537,13.450648,7.765686,0.43683192,-0.24564709,COD,False
0.77153313,-0.00057322154,-0.17121734,2.3483224,0.59077805,-0.13137044,-0.15786949,0.48388502,-0.83770555,23.100742,7.652323,-0.0076916507,-0.07956341,CMR,False
-0.35366777,-0.13459218,-0.44985268,-5.4246845,0.21973725,0.050851617,0.30695418,-0.061646264,0.8079228,-21.054628,2.636859,1.1709354,0.122459464,CHL,False
-0.6136087,0.6014588,0.28366363,0.68909407,0.34751287,0.10030667,1.0760454,0.44909552,-0.55508167,24.197329,8.799465,-1.9970517,-0.031203542,CIV,False
0.30165198,-0.5075008,-0.62221205,-6.763592,0.10428704,-0.14658058,-0.30993062,0.25607982,-0.7227969,-17.030943,-2.6328192,0.78521824,-0.28108507,ECU,False
-7.4719276,-2.5545003,-0.23425654,-1.400817,-1.2417694,0.4792911,-0.9158013,0.1609967,-14.964288,14.355663,-11.873293,-0.3840982,-2.6836383,EGY,False
1.4618418,-0.21049802,0.63245225,0.82408845,-0.29871234,1.0182484,0.019965695,0.4333341,4.55446,22.415546,-2.7958555,2.120503,-2.7980886,ESP,False
-0.5424995,0.25570998,-0.14086421,1.1273793,0.694621,0.5315528,0.06654679,0.8703961,3.3038836,32.025486,0.28449354,1.2017465,1.3362777,DZA,False
0.13404748,-0.5721853,-0.3874595,-2.7200015,-0.22300534,-0.27921608,0.32097247,-0.76135206,-1.5082537,-17.897726,-1.6187315,0.35455865,-0.30685756,CAN,False
-0.71205914,-0.37031206,0.5497525,-0.19684158,-0.0646253,0.038015775,-1.5053557,0.5902001,-1.9623061,-5.0506797,-1.8514355,-0.62599003,-0.29787943,DOM,True
-2.5891252,-1.0893217,0.29552096,0.2750399,-0.29863802,0.15446919,-3.4985993,-0.3537562,-1.8196746,16.318378,1.1554607,0.72817904,-0.2668742,CUB,True
0.29234776,-2.8007088,-0.20210814,-11.943734,-0.37097147,-0.60233647,-0.18079577,-0.08456062,-4.189892,16.250383,-7.3571653,-4.650885,-0.9975841,DJI,False
-1.2431287,0.08506396,0.42016158,-2.886663,0.1418466,-0.05730666,-0.267596,-0.10565004,-1.5148433,-18.76664,-3.1335254,-1.7884479,-0.27834323,DMA,True
-0.022855964,-0.67822295,-0.4872563,-1.887167,0.10835842,-0.59155893,0.10845041,0.08506017,-0.42769337,-16.43986,-1.7603471,-4.268827,-0.40924546,DEU,False
-2.7280056,0.43138582,-0.16779383,7.594099,-0.34758633,-1.3015211,-0.28948843,-0.5497398,1.2629482,-21.328318,-4.1182694,-4.6096144,-0.537413,CZE,False
-0.4896606,-0.4658877,0.5232883,-6.3301797,-0.0087729115,-0.9670808,0.88387257,-0.7602517,1.3787338,-20.092108,-1.835327,0.60731417,-0.6003039,GBR,False
