iso3,P2_electricity_access_value_normalized,P2_DTP1_access_value_normalized,P2_DTP3_access_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Stunting_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Learning_poverty_value_normalized,P2_Child_labor_value_normalized,P2_Child_marriage_value_normalized,P2_Child_poverty_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_Under_five_mortality_value_normalized,P2_Basic_hygiene_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_arithmetic_avg,rank_reverse
GIN,5.811111111111112,4.200000000000001,6.0344827586206895,5.870503597122301,5.224489795918368,8.578352180936994,7.8383294827586205,8.500056260567279,8.386823955335105,5.948717948717948,4.599567965437235,6.059525276721038,9.379999999999999,6.95622337613725,9.05447849375,5.808053167692307,8.580836048888889,6.912395256625806,9.0
GUY,0.7777777777777786,0.0,0.0,0.1294964028776988,1.2448979591836735,2.9563812600969306,0.7142212413793104,1.8902196787502774,,1.3846153846153846,0.15761260900872068,,,0.19755448461565062,1.5193108468749976,0.6605667615384618,1.0454436577777777,0.9455756975045135,154.0
HTI,5.633333333333335,4.4,6.551724137931035,9.021582733812949,4.204081632653062,4.911147011308563,0.9074098448275861,7.3972748818428125,,,1.5333226658132648,5.830541657153194,9.59,2.8912113622074216,8.805926558333333,6.961751544615385,8.438019458888888,5.044998206732642,31.0
HND,0.6222222222222218,4.600000000000001,3.9655172413793105,0.9064748201438846,3.4489795918367347,1.4054927302100162,4.823398275862069,5.211248462145471,8.03069506193462,7.128205128205128,2.3993919513561086,,8.129999999999999,0.25272344194741747,1.6327762270833333,1.4897407830769218,1.929211742222222,3.686143128256568,56.0
HUN,0.0,0.0,0.0,,,,,,0.6479674891421664,,,,0.0,0.0,,0.0,0.1589047788888891,0.1454839757173222,180.0
ISL,0.0,0.0,0.6896551724137936,,,,,,,,,,2.5299999999999994,0.0,,0.0,0.0,0.689971264367816,157.0
IRN,0.0,0.0,0.0,,0.7755102040816326,,,,4.056452700966274,,9.999999999999998,,1.3099999999999987,0.025963143570305297,,0.8013697307692311,1.9666666666666668,2.5074206067623086,89.0
IRQ,0.0,0.1999999999999993,1.3793103448275872,0.38848920863309466,1.7142857142857144,2.1163166397415187,3.4655172413793105,6.100750023223408,,0.8974358974358974,6.799743979518361,2.915424748314035,7.64,0.16641064162278618,0.3259632302083322,0.7952081876923085,0.26161649444444457,2.4205752794360156,92.0
IRL,0.0,1.0,1.0344827586206904,,0.24489795918367352,,,,0.0,,,,0.0,0.0,,0.31133144923076905,0.7510389555555559,0.24237401351951102,173.0
ISR,0.0,0.0,0.0,,,,,,1.199917441920221,,,,0.0,0.0,,0.0,0.1258877433333332,0.25257226271737754,171.0
ITA,0.0,0.8000000000000007,0.6896551724137936,,,,,,0.2628163789447978,,,,0.0,0.0,,0.012763989230768047,0.011166945555554975,0.15426671409517814,179.0
JAM,0.0,0.0,0.0,,1.2040816326530612,,,,,0.6666666666666666,0.20501640131210494,,6.49,0.0032426645518676134,3.181741255208334,2.447481504615384,0.6807746366666656,1.7060830494485184,124.0
JPN,0.0,0.0,0.0,,0.8571428571428572,,,,0.06263446807861262,,,,1.459999999999999,0.0,,0.12566646615384514,0.006298842222221879,0.4076266632349171,163.0
MLT,0.0,0.0,0.1724137931034484,,0.5102040816326531,,,,0.7537036694978315,,,,3.329999999999999,0.0,,0.0,0.0,0.7752298359163833,155.0
JOR,0.0,0.1999999999999993,0.3448275862068968,0.07194244604316502,1.3673469387755102,2.9402261712439417,0.7413793448275863,1.4635665900222836,6.236426504034736,0.17948717948717946,1.1098887911032882,,8.64,0.0,,0.33475576923076744,0.5925875322222218,2.1243042160079293,107.0
KAZ,0.0,0.0,0.0,0.1007194244604328,0.6938775510204083,1.6639741518578353,0.0,0.011425310775228681,0.7805215935958,,1.2805024401952154,,4.56,0.2163355686210689,0.13275511458333256,0.36935038923076924,0.09930860666666597,1.1036281982839686,146.0
KEN,2.666666666666666,1.4000000000000021,1.2068965517241388,1.7122302158273381,3.4489795918367347,2.4232633279483036,,,8.0301409269634,,7.799823985918874,,9.68,0.8751377059765231,5.3976788125,6.832066449230769,6.511795407777779,5.330693237210766,28.0
KIR,0.6222222222222218,0.3999999999999986,0.6896551724137936,0.5179856115107899,2.795918367346939,5.379644588045235,1.611406896551724,2.4797081803390366,,3.9743589743589736,0.017201376110088804,7.145935926095901,9.87,3.0213501968759027,4.3147327791666665,5.592402404615385,6.73801119,3.680612175347224,57.0
KWT,0.0,0.0,0.0,,0.7142857142857143,,,,5.061319050035978,,,,9.3,0.03649413882877675,,0.0,0.0,2.5186831505250784,88.0
KGZ,0.033333333333333215,1.6000000000000014,2.2413793103448265,0.0,2.0408163265306127,1.6639741518578353,0.06896551724137931,0.10282174192564497,,4.769230769230769,0.529442355388431,1.2507220086623634,8.4,0.21625106540849187,0.28205526145833204,1.2093075753846136,0.03251693111111287,1.5865536549139863,128.0
LAO,0.0,4.4,5.344827586206896,6.330935251798561,5.8979591836734695,3.247172859450727,3.2758620689655173,5.284958659365007,9.970240542763158,5.666666666666667,1.607328586286903,6.588416337769739,,0.5968551274252429,4.521443761458333,1.0416278261538459,1.9480039355555565,4.013498298212719,49.0
LVA,0.0,0.0,0.1724137931034484,,0.14285714285714285,,,,0.5724106838828631,,,,0.0,0.0,,0.22331400769230747,1.6752817744444446,0.287006163696033,169.0
LBN,0.0,2.400000000000002,8.448275862068964,,1.857142857142857,3.1502423263327946,,,,,0.5046403712296983,,6.42,0.2718903699361767,,1.1384615384615397,0.08888888888888857,2.321665083433651,96.0
LSO,5.555555555555555,2.400000000000002,2.068965517241378,1.496402877697843,6.938775510204082,4.345718901453958,2.2586206896551726,6.340667497214077,9.884119936842104,3.3076923076923075,0.36402912232978635,,3.2799999999999994,0.5450219236904796,8.569539489583333,4.5168289430769235,5.648303866666668,3.798483948547667,52.0
LBR,7.5777777777777775,1.4000000000000021,2.5862068965517233,2.244604316546761,5.285714285714286,6.67205169628433,,,,6.871794871794871,1.1086886950956076,,9.42,4.10048148748796,10.0,4.564216067692307,9.993358464444444,5.854601947838415,22.0
LBY,3.333333333333334,1.6000000000000014,2.068965517241378,,1.673469387755102,,,,,,,,4.47,2.8274395745370264,0.45937499999999787,0.5608393707692301,1.2778726622222223,2.4142075180295035,93.0
MHL,0.0,0.0,2.2413793103448265,,5.918367346938776,4.555735056542811,,,,,0.0066005280422433785,,10.0,0.7547446025482969,2.0576405104166673,0.9384795507692303,3.609977788888889,3.15792589763409,72.0
MRT,5.666666666666668,0.6000000000000014,2.068965517241378,4.330935251798561,4.183673469387755,5.977382875605817,6.9014844827586215,6.152355398431923,,3.333333333333333,1.1842947435794862,8.786836174901989,9.51,1.2036196658963616,8.648660230208334,6.336627986153847,8.152197233333332,5.013919559102997,32.0
MUS,0.0,0.1999999999999993,0.862068965517242,,1.3877551020408163,,,,,,,,8.92,0.13506686450768185,,0.019135598461536674,0.351721706666666,2.1964547215236694,102.0
PRY,0.0,3.1999999999999993,3.1034482758620685,0.4892086330935257,0.44897959183673475,0.7108239095315023,1.1551723793103448,2.2620761516853456,7.867790623715042,4.333333333333332,1.002480198415873,1.260098059382126,7.89,0.18111708898315304,2.9173325781250004,0.13673422615384645,0.4159233966666669,2.088640283003417,110.0
PER,0.4222222222222225,3.0,3.1034482758620685,0.8776978417266186,1.959183673469388,0.37156704361873993,,,4.3623625102796,3.4615384615384612,4.599567965437235,,8.56,0.2595069633522467,2.88820428125,1.9472337815384613,4.331594011111111,3.3263310697975728,63.0
LTU,0.0,1.1999999999999993,1.5517241379310356,,0.12244897959183676,,,,0.02902362221165683,,,,0.0,0.0,,0.040511375384616244,0.7714603444444439,0.24578330683806146,172.0
LUX,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,0.1261110844444442,0.015763885555555524,188.0
MDG,7.1,5.600000000000001,6.551724137931035,8.086330935251798,7.63265306122449,3.7479806138933762,5.9655168965517245,8.385675311257918,9.70968788548519,9.153846153846153,6.999759980798464,9.7307753432111,7.869999999999999,4.121663571328792,8.839436102083333,9.339197664615384,9.938176745555555,7.273749778756332,4.0
MYS,0.0,1.0,0.862068965517242,0.28776978417266186,4.755102040816327,,,,4.107961554276315,,,,9.84,0.0674750697408219,,0.7388121384615385,0.4577182744444439,3.3177105931181554,66.0
MDV,0.0,0.0,0.0,0.11510791366906403,2.6938775510204085,0.7108239095315023,0.5139515344827587,,,,0.09180734458756701,0.8802857424745484,9.18,0.0,0.5235205124999993,0.01245961538461593,0.03732124333333253,1.079732845153353,148.0
MLI,5.222222222222223,1.4000000000000021,2.7586206896551717,4.172661870503596,4.530612244897959,4.701130856219709,10.0,7.940115038893481,,5.564102564102563,6.999759980798464,5.648986528270161,8.43,6.982355696215246,9.4666276234375,3.071559790769232,6.807359977777779,6.246657327961404,16.0
MEX,0.0,3.0,3.4482758620689653,0.21582733812949684,2.4693877551020407,1.2116316639741518,0.8620689655172414,1.2795586045747882,4.698334543328526,1.282051282051282,9.999999999999998,1.910439815587838,7.65,0.14396623935689168,-1.7763568394002505e-15,0.38900910615384454,1.1954612622222225,2.4114130654804344,94.0
FSM,1.6333333333333346,0.3999999999999986,3.793103448275862,,,,,,,,,,9.32,0.27280136661700793,,1.5566224384615381,1.0606776977777788,3.2108992571515995,71.0
MDA,0.0,2.1999999999999993,2.068965517241378,,0.653061224489796,,,,,,0.3584286742939435,,7.71,0.039710271366489,1.8480294968749984,1.7383562784615378,1.8050354888888887,1.996888182884305,113.0
MNG,0.0,0.1999999999999993,0.3448275862068968,0.0,1.2448979591836735,1.3731825525040389,0.5862069137931034,,,2.743589743589743,0.16941355308424672,3.4925642081895525,0.0,0.2587074917190573,1.9632700749999987,5.613607449230768,5.231828512222222,1.3946448555938822,133.0
MAR,0.0,0.0,0.3448275862068968,1.0935251798561136,2.591836734693877,,,,5.974687676680715,,4.599567965437235,,8.42,0.02019895173119607,,2.9795026784615377,3.1808466611111115,3.578007741406443,58.0
MOZ,7.4222222222222225,1.6000000000000014,4.827586206896551,3.553956834532375,7.346938775510204,,,,,,9.999999999999998,,9.99,3.211504032109646,9.387743508020833,7.4052463523076915,8.610445585555556,7.227865989804555,6.0
NAM,4.866666666666667,3.8000000000000007,4.137931034482759,,3.1428571428571423,,,,,,0.15641251300104006,,6.129999999999999,0.26677407399311415,7.554122201041666,3.9504803015384606,8.416480453333334,3.434100658145377,59.0
NRU,0.0,0.0,0.0,,3.0612244897959187,,,,,0.02564102564102566,0.0008000640051204096,,3.3999999999999995,0.0,0.959637813541665,0.33185201538461406,3.186540540000001,1.3278536373768475,136.0
NPL,0.9666666666666668,0.0,0.1724137931034484,2.820143884892085,5.1020408163265305,1.0823909531502425,0.5732544482758621,3.050802578213471,,,9.999999999999998,4.086733554491884,7.25,0.4507858767552198,3.5672778791666664,0.9199635276923086,1.44755084,3.427352460062298,60.0
NLD,0.0,1.4000000000000021,1.2068965517241388,,0.12244897959183676,,,,0.15698673850611577,,,,0.0,0.0,,0.0,0.01189069444444435,0.19239109709359248,177.0
NZL,0.0,0.8000000000000007,1.5517241379310356,,,,,,0.8275105325799156,,,,2.009999999999999,0.0,,0.0,0.0,0.7242837157113853,156.0
NER,8.944444444444445,0.6000000000000014,2.068965517241378,8.273381294964029,9.653061224489797,5.040387722132472,,,9.203875893040705,10.0,9.999999999999998,,9.58,10.0,8.353281805208333,8.24941436923077,10.0,8.567123367427715,1.0
NOR,0.0,0.0,0.1724137931034484,,,,,,0.13621877369127683,,,,0.0,0.0,,0.0,0.18888888888889,0.05762689650070759,186.0
OMN,0.0,0.0,0.0,,2.428571428571429,,,,3.9593433580900417,,0.6130490439235138,,9.87,0.21187428496792798,0.27083333333333215,3.653726167692307,0.07793837555555605,2.631000582059044,83.0
PAK,0.5555555555555554,0.8000000000000007,1.8965517241379288,3.4676258992805753,6.653061224489797,6.009693053311794,4.4704155172413795,5.736902212622034,8.057184319747115,,9.999999999999998,7.0468078079838765,9.48,1.5610181224105544,2.0617576729166656,1.6444827169230773,3.891884082222223,5.2080868524672805,29.0
