iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
ZMB,Zambia,270,heatwave_duration_ecmwf_2014-2024,8888606.148961632,10196835.532348046,20958153.45714537
MWI,Malawi,152,heatwave_duration_ecmwf_2014-2024,1621173.6095231522,10332558.391291227,21364800.015051864
COD,Democratic Republic of the Congo,68,heatwave_duration_ecmwf_2014-2024,54476877.49756488,56518034.82409519,107520673.14726505
TZA,United Republic of Tanzania,257,heatwave_duration_ecmwf_2014-2024,30900220.481845383,33009937.951469254,66805323.48495578
ZWE,Zimbabwe,271,heatwave_duration_ecmwf_2014-2024,4897270.32304482,7945012.017134821,16496124.651762815
SWZ,Eswatini,235,heatwave_duration_ecmwf_2014-2024,0.0,493249.9898904882,1236391.7812091997
MDG,Madagascar,150,heatwave_duration_ecmwf_2014-2024,8219757.130956609,14049899.735137548,30746933.842093825
LSO,Lesotho,142,heatwave_duration_ecmwf_2014-2024,947638.968918272,953829.4465429004,2322762.20800154
MOZ,Mozambique,170,heatwave_duration_ecmwf_2014-2024,6133813.998239506,17344880.61404176,33765407.903643
AGO,Angola,8,heatwave_duration_ecmwf_2014-2024,15501005.700515645,18709836.695157874,36705172.49091578
BEN,Benin,29,heatwave_duration_ecmwf_2014-2024,6721391.806569957,6896624.15516794,14286070.048997458
CAF,Central African Republic,49,heatwave_duration_ecmwf_2014-2024,2934123.2070428585,2934123.207042857,5180632.413997505
NGA,Nigeria,182,heatwave_duration_ecmwf_2014-2024,103826488.09072451,110642672.82595986,229602955.22762072
BRB,Barbados,24,heatwave_duration_ecmwf_2014-2024,53001.28257883545,59724.79769552406,271879.1577990625
UGA,Uganda,253,heatwave_duration_ecmwf_2014-2024,25129146.709386457,25129259.06013416,49309226.20315204
RWA,Rwanda,205,heatwave_duration_ecmwf_2014-2024,6267135.860284383,6267135.860284382,14097780.61437473
SDN,Sudan,280,heatwave_duration_ecmwf_2014-2024,23445406.42912329,23464053.82112306,49865907.05433004
SSD,South Sudan,287,heatwave_duration_ecmwf_2014-2024,5568107.86574101,5568107.865741009,11794882.362643046
SOM,Somalia,226,heatwave_duration_ecmwf_2014-2024,8601473.702178871,9019740.484482087,17745124.38125394
ETH,Ethiopia,79,heatwave_duration_ecmwf_2014-2024,59747111.304798186,60017167.31716954,130475844.22602253
KEN,Kenya,133,heatwave_duration_ecmwf_2014-2024,22880621.75275256,24625532.746762585,55527033.276318535
DJI,Djibouti,70,heatwave_duration_ecmwf_2014-2024,193664.4746694237,409716.54640383215,1119252.909654745
ERI,Eritrea,77,heatwave_duration_ecmwf_2014-2024,1482061.5296245697,1606584.5282397794,3486964.7724528024
NAM,Namibia,172,heatwave_duration_ecmwf_2014-2024,1125969.2362399567,1268276.2367407666,2949807.1605317136
COG,Congo,59,heatwave_duration_ecmwf_2014-2024,2222186.382228897,2955038.354785084,6206506.644251352
BDI,Burundi,43,heatwave_duration_ecmwf_2014-2024,7250336.5254463535,7250336.5254463535,13877840.606541414
PER,Peru,195,heatwave_duration_ecmwf_2014-2024,8156796.361516816,9874602.154362565,33712159.78664455
NIC,Nicaragua,180,heatwave_duration_ecmwf_2014-2024,2319487.242173488,2382957.485014101,6844251.065995058
HTI,Haiti,108,heatwave_duration_ecmwf_2014-2024,4120230.0033084834,4369559.821722568,11561263.402586265
HND,Honduras,111,heatwave_duration_ecmwf_2014-2024,3743399.3153535137,3943858.633544406,10680596.343706677
GTM,Guatemala,103,heatwave_duration_ecmwf_2014-2024,6441128.596817355,6957737.932168799,18248624.36506566
SLV,El Salvador,75,heatwave_duration_ecmwf_2014-2024,1876304.551772464,1913989.8369186264,6298205.349703249
DOM,Dominican Republic,72,heatwave_duration_ecmwf_2014-2024,3137794.826897134,3626137.5981383873,11247326.528267344
ECU,Ecuador,73,heatwave_duration_ecmwf_2014-2024,1604790.6276879767,5412110.716024817,17981500.764775794
BOL,Bolivia (Plurinational State of),33,heatwave_duration_ecmwf_2014-2024,3812585.0659312126,4394806.995631341,12311327.070721583
PSE,State of Palestine,3000,heatwave_duration_ecmwf_2014-2024,706610.7232470036,2443377.092891145,5402734.348390189
COL,Colombia,57,heatwave_duration_ecmwf_2014-2024,10975115.047768231,13013624.96599115,52128530.52033738
CUB,Cuba,279,heatwave_duration_ecmwf_2014-2024,1947028.038426504,2038204.995428952,10901386.021685028
VEN,Venezuela,263,heatwave_duration_ecmwf_2014-2024,8074927.128939031,8674824.962246258,27788241.581764527
