iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
LVA,LVA,140,Latvia,State,extreme_heat_ecmwf_2014-2024,0.0,352476.9483869648,1874322.021287544
GBR,GBR,256,United Kingdom of Great Britain & Northern Ireland,State,extreme_heat_ecmwf_2014-2024,0.0,13833633.36514639,66801101.24706387
SVK,SVK,223,Slovakia,State,extreme_heat_ecmwf_2014-2024,0.0,1043138.9547115172,5519415.897061884
SGP,SGP,222,Singapore,State,extreme_heat_ecmwf_2014-2024,0.0,863181.0494423833,5744095.112007035
FIN,FIN,84,Finland,State,extreme_heat_ecmwf_2014-2024,0.0,991548.9208887324,5481302.3885392025
AUT,AUT,18,Austria,State,extreme_heat_ecmwf_2014-2024,0.0,1562148.624465223,9130651.449956167
LTU,LTU,147,Lithuania,State,extreme_heat_ecmwf_2014-2024,0.0,509050.7715009928,2863772.09982621
LIE,LIE,146,Liechtenstein,State,extreme_heat_ecmwf_2014-2024,0.0,6875.366860336075,39264.44906781761
SVN,SVN,224,Slovenia,State,extreme_heat_ecmwf_2014-2024,0.0,375370.8680088072,2110515.239747517
CZE,CZE,65,Czechia,State,extreme_heat_ecmwf_2014-2024,0.0,2026392.756159295,10797124.828764644
NLD,NLD,177,Netherlands,State,extreme_heat_ecmwf_2014-2024,0.0,3317694.0663007777,18030052.847647004
NOR,NOR,186,Norway,State,extreme_heat_ecmwf_2014-2024,0.0,1019110.0162667148,5136993.174582463
DNK,DNK,69,Denmark,State,extreme_heat_ecmwf_2014-2024,0.0,1147086.5097039016,5883745.467643925
POL,POL,198,Poland,State,extreme_heat_ecmwf_2014-2024,0.0,6998876.868678058,38662133.262678176
DEU,DEU,93,Germany,State,extreme_heat_ecmwf_2014-2024,0.0,14032551.906228645,84349307.87342775
IDN,IDN,272,Indonesia,State,extreme_heat_ecmwf_2014-2024,4134743.7555623343,81524741.71361367,274772145.5402546
HUN,HUN,113,Hungary,State,extreme_heat_ecmwf_2014-2024,0.0,1702868.9151752773,9688337.90151386
EST,EST,78,Estonia,State,extreme_heat_ecmwf_2014-2024,0.0,265271.9056398523,1354994.099118999
CHE,CHE,237,Switzerland,State,extreme_heat_ecmwf_2014-2024,0.0,1593959.8593163334,8906116.805290278
IRL,IRL,119,Ireland,State,extreme_heat_ecmwf_2014-2024,0.0,1189865.981893454,5179629.594122755
PLW,PLW,189,Palau,State,extreme_heat_ecmwf_2014-2024,0.0,3758.9448553167817,16582.14631588159
MMR,MMR,273,Myanmar,State,extreme_heat_ecmwf_2014-2024,11718444.546376703,15460209.413522577,53005901.19039029
MYS,MYS,153,Malaysia,State,extreme_heat_ecmwf_2014-2024,352896.63251572376,9438208.82051826,35021324.28789039
LAO,LAO,139,Lao People's Democratic Republic,State,extreme_heat_ecmwf_2014-2024,1439631.210357154,2799992.107905541,7773197.463827402
KHM,KHM,44,Cambodia,State,extreme_heat_ecmwf_2014-2024,5859751.158652756,6211089.468707345,17474504.368509203
SWE,SWE,236,Sweden,State,extreme_heat_ecmwf_2014-2024,0.0,2091143.1934195124,10196581.003937244
CHN,CHN,53,China,State,extreme_heat_ecmwf_2014-2024,61055989.78456002,277313542.14029336,1398053699.0500312
PHL,PHL,275,Philippines,State,extreme_heat_ecmwf_2014-2024,3701185.9834950166,38871077.878363885,111718450.53016572
BIH,BIH,34,Bosnia and Herzegovina,State,extreme_heat_ecmwf_2014-2024,0.0,515895.4783679136,3178210.5685280324
TJK,TJK,239,Tajikistan,State,extreme_heat_ecmwf_2014-2024,2104547.1641575377,4387169.652760619,10514773.839167291
TKM,TKM,250,Turkmenistan,State,extreme_heat_ecmwf_2014-2024,2677506.1923593218,2720145.0325089544,7502559.663057942
KGZ,KGZ,138,Kyrgyzstan,State,extreme_heat_ecmwf_2014-2024,236499.3542658849,2689810.5495979697,7128254.228270121
BLR,BLR,26,Belarus,State,extreme_heat_ecmwf_2014-2024,0.0,1792217.4614245505,9086109.98586381
ARM,ARM,13,Armenia,State,extreme_heat_ecmwf_2014-2024,4535.021569562492,692304.0339001681,2985294.80775838
GEO,GEO,92,Georgia,State,extreme_heat_ecmwf_2014-2024,29279.62969460497,937439.5692579546,3784213.4233360607
UZB,UZB,261,Uzbekistan,State,extreme_heat_ecmwf_2014-2024,11047206.551501408,12787695.431002842,35821875.85684069
AZE,AZE,19,Azerbaijan,State,extreme_heat_ecmwf_2014-2024,803614.2402856253,2747049.024153959,10305389.436339865
MNE,MNE,2647,Montenegro,State,extreme_heat_ecmwf_2014-2024,0.0,138275.7518197032,622923.7677953261
KAZ,KAZ,132,Kazakhstan,State,extreme_heat_ecmwf_2014-2024,2320565.281268639,7014132.875079232,20544183.168450046
UKR,UKR,254,Ukraine,State,extreme_heat_ecmwf_2014-2024,0.0,6441730.802744021,37108428.06449344
SRB,SRB,2648,Serbia,State,extreme_heat_ecmwf_2014-2024,0.0,1616522.1809762565,8447238.991488868
BGR,BGR,41,Bulgaria,State,extreme_heat_ecmwf_2014-2024,0.0,1180649.076379971,6741954.2780567575
MDA,MDA,165,Moldova,State,extreme_heat_ecmwf_2014-2024,0.0,714907.5192525199,3053481.236112128
HRV,HRV,62,Croatia,State,extreme_heat_ecmwf_2014-2024,0.0,671401.7886066568,3814352.804866864
VNM,VNM,264,Viet Nam,State,extreme_heat_ecmwf_2014-2024,13797411.71590252,28054759.06497631,100239442.09206602
ROU,ROU,203,Romania,State,extreme_heat_ecmwf_2014-2024,0.0,3678752.774545541,19060418.468438007
KWT,KWT,137,Kuwait,State,extreme_heat_ecmwf_2014-2024,892181.9850501403,1065069.932155687,4806398.575371386
OMN,OMN,187,Oman,State,extreme_heat_ecmwf_2014-2024,1152866.0420697809,1456456.2483514308,5085011.080962791
BHR,BHR,21,Bahrain,State,extreme_heat_ecmwf_2014-2024,183717.7305532933,294136.04234694474,1274280.3945162487
ARE,ARE,255,United Arab Emirates,State,extreme_heat_ecmwf_2014-2024,1834219.5398934176,2017226.7084702775,10543474.588907082
QAT,QAT,201,Qatar,State,extreme_heat_ecmwf_2014-2024,487077.0862010573,525144.2110599988,3008583.4686393905
PAK,PAK,188,Pakistan,State,extreme_heat_ecmwf_2014-2024,96513250.8575084,107859795.79446094,248770628.08991215
IRN,IRN,117,Iran (Islamic Republic of),State,extreme_heat_ecmwf_2014-2024,15545243.742701132,24315760.858268265,90510901.1693366
IRQ,IRQ,118,Iraq,State,extreme_heat_ecmwf_2014-2024,19697061.38314975,19718366.3495142,45596938.15782804
NPL,NPL,175,Nepal,State,extreme_heat_ecmwf_2014-2024,5965150.007157212,10224510.71822854,29560529.350814573
BTN,BTN,31,Bhutan,State,extreme_heat_ecmwf_2014-2024,0.0,208357.86893249143,789298.3287236916
LKA,LKA,231,Sri Lanka,State,extreme_heat_ecmwf_2014-2024,1383607.0727673452,6184168.82043986,22721976.34778995
AFG,AFG,1,Afghanistan,State,extreme_heat_ecmwf_2014-2024,8128816.677744632,20936240.23302899,41994830.06975488
BGD,BGD,23,Bangladesh,State,extreme_heat_ecmwf_2014-2024,46281075.83565136,58885535.06426557,172244597.51491636
SJM,SJM,234,Svalbard and Jan Mayen Islands,Territory,extreme_heat_ecmwf_2014-2024,0.0,0.0,7.739739894880897
FRO,FRO,82,Faroe Islands,Territory,extreme_heat_ecmwf_2014-2024,0.0,10615.136152522731,45318.06391283055
ALA,ALA,1000,Åland Islands,Territory,extreme_heat_ecmwf_2014-2024,0.0,0.0,24356.800147148235
JEY,JEY,128,Jersey,Territory,extreme_heat_ecmwf_2014-2024,0.0,18067.60178644833,97117.64018362292
SPM,SPM,210,Saint Pierre et Miquelon,Territory,extreme_heat_ecmwf_2014-2024,0.0,1002.2698356302092,5160.521783569209
GGY,GGY,104,Guernsey,Territory,extreme_heat_ecmwf_2014-2024,0.0,10950.67750471385,61372.251372322986
IND,IND,115,India,State,extreme_heat_ecmwf_2014-2024,393264706.44868034,429033200.029715,1423251741.70589
IMN,IMN,120,Isle of Man,Territory,extreme_heat_ecmwf_2014-2024,0.0,14815.5585762533,81148.04656553558
GUM,GUM,101,Guam (USA),Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,50487.61089682401,162074.49419516211
ASM,ASM,5,American Samoa (USA),Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,14736.56941334131,43375.30869603411
NCL,NCL,178,New Caledonia,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,65810.43454747007,253993.87692264805
CYM,CYM,48,Cayman Islands,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,14226.035578423203,66843.62950955326
VIR,VIR,258,United States Virgin Islands (USA),Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,17127.11732145068,79596.85785826089
TKL,TKL,244,Tokelau,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,786.5965596395358,2452.9999413534915
BMU,BMU,30,Bermuda,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,10864.008378721916,55435.12237798182
PYF,PYF,87,French Polynesia,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,59522.1315437512,234401.43575014835
MSR,MSR,168,Montserrat,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,884.1378015468772,4043.19030483576
TCA,TCA,251,Turks and Caicos Islands,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,9016.84975392375,41729.440228630105
VGB,VGB,39,British Virgin Islands,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,7350.751071621346,35036.67130088174
AIA,AIA,9,Anguilla,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,3104.9250468027253,13037.795331621564
xKI,xRI,136,Kuril Islands,Sovereignty unsettled,extreme_heat_ecmwf_2014-2024,0.0,3437.7847435544504,15357.129547545395
GRL,GRL,98,Greenland,Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,6477.861334156774,27103.05289813479
ITA,ITA,122,Italy,State,extreme_heat_ecmwf_2014-2024,190905.5071854664,8877330.152171064,58943117.40229861
KOR,KOR,202,Republic of Korea,State,extreme_heat_ecmwf_2014-2024,0.0,6794531.02298312,50911450.6384239
ISL,ISL,114,Iceland,State,extreme_heat_ecmwf_2014-2024,0.0,84347.2142932052,374741.9556888478
NZL,NZL,179,New Zealand,State,extreme_heat_ecmwf_2014-2024,0.0,1136877.348168047,5098976.532638796
BHS,BHS,20,Bahamas,State,extreme_heat_ecmwf_2014-2024,0.0,89251.80199643958,378927.81558878673
JPN,JPN,126,Japan,State,extreme_heat_ecmwf_2014-2024,0.0,17219079.330445986,121051429.1856766
NRU,NRU,173,Nauru,State,extreme_heat_ecmwf_2014-2024,0.0,3406.779416942735,7921.69449452159
FSM,FSM,163,Micronesia (Federated States of),State,extreme_heat_ecmwf_2014-2024,0.0,0.0,97941.54496192724
MHL,MHL,157,Marshall Islands,State,extreme_heat_ecmwf_2014-2024,0.0,4940.814034338383,11478.30927858868
TON,TON,245,Tonga,State,extreme_heat_ecmwf_2014-2024,0.0,43568.60091921578,89068.38999731428
FJI,FJI,276,Fiji,State,extreme_heat_ecmwf_2014-2024,0.0,289761.7819723601,859967.3618934469
KIR,KIR,135,Kiribati,State,extreme_heat_ecmwf_2014-2024,0.0,42442.23362375012,49086.04440608444
TUV,TUV,252,Tuvalu,State,extreme_heat_ecmwf_2014-2024,0.0,998.5976547017752,3533.199331864501
VUT,VUT,277,Vanuatu,State,extreme_heat_ecmwf_2014-2024,0.0,142229.24766507288,279996.3260511341
PRK,PRK,67,Democratic People's Republic of Korea,State,extreme_heat_ecmwf_2014-2024,0.0,5905029.125498954,26240557.4532485
WSM,WSM,212,Samoa,State,extreme_heat_ecmwf_2014-2024,0.0,95989.66366682095,197947.25277579777
SLB,SLB,225,Solomon Islands,State,extreme_heat_ecmwf_2014-2024,0.0,347056.32678090845,698114.1746712417
PNG,PNG,274,Papua New Guinea,State,extreme_heat_ecmwf_2014-2024,470.7008962929249,3784556.7138175145,9664712.229215853
BLZ,BLZ,28,Belize,State,extreme_heat_ecmwf_2014-2024,27456.957069513177,133069.7094601211,401366.1072143414
MNG,MNG,167,Mongolia,State,extreme_heat_ecmwf_2014-2024,997.2682921782674,1285223.0779458687,3455708.699375357
VCT,VCT,211,Saint Vincent and the Grenadines,State,extreme_heat_ecmwf_2014-2024,0.0,27454.8295758976,98139.14191913264
CRI,CRI,61,Costa Rica,State,extreme_heat_ecmwf_2014-2024,22547.51769770589,1190931.6569921405,5096308.190925651
GRD,GRD,99,Grenada,State,extreme_heat_ecmwf_2014-2024,0.0,26648.719983237235,104366.48553840266
ATG,ATG,11,Antigua and Barbuda,State,extreme_heat_ecmwf_2014-2024,0.0,20569.271483340275,89652.8596302089
DMA,DMA,289,Dominica,State,extreme_heat_ecmwf_2014-2024,0.0,14420.200667460073,58267.29752087525
LCA,LCA,209,Saint Lucia,State,extreme_heat_ecmwf_2014-2024,0.0,38338.36273994656,171217.2104855422
HTI,HTI,108,Haiti,State,extreme_heat_ecmwf_2014-2024,178943.72214886814,4362415.70197894,11552620.71120642
DOM,DOM,72,Dominican Republic,State,extreme_heat_ecmwf_2014-2024,160202.37322416436,3629113.0499981567,11264063.963632444
SUR,SUR,233,Suriname,State,extreme_heat_ecmwf_2014-2024,17477.273083507793,195174.7868469686,630534.8647935134
BRB,BRB,24,Barbados,State,extreme_heat_ecmwf_2014-2024,0.0,59742.54534643552,272323.4140351333
GUY,GUY,107,Guyana,State,extreme_heat_ecmwf_2014-2024,12673.460766931725,281354.32972681616,806544.3934990016
PAN,PAN,191,Panama,State,extreme_heat_ecmwf_2014-2024,3608.05604471406,1342373.928328629,4420205.478429331
JAM,JAM,123,Jamaica,State,extreme_heat_ecmwf_2014-2024,0.0,665277.5990275983,2795829.7441987377
KNA,KNA,208,Saint Kitts and Nevis,State,extreme_heat_ecmwf_2014-2024,0.0,10377.264526423878,42606.217441125
SLV,SLV,75,El Salvador,State,extreme_heat_ecmwf_2014-2024,445029.98590975953,1913684.532873592,6295586.311346074
TTO,TTO,246,Trinidad and Tobago,State,extreme_heat_ecmwf_2014-2024,0.0,325964.8544996217,1483595.7138253364
