iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
SVN,SVN,224,Slovenia,State,coastal_flood_100yr_jrc_2024,717.2471979497233,375370.8680088072,2110515.239747517
CZE,CZE,65,Czechia,State,coastal_flood_100yr_jrc_2024,0.0,2026392.756159295,10797124.828764644
NLD,NLD,177,Netherlands,State,coastal_flood_100yr_jrc_2024,1570151.295652777,3317694.0663007777,18030052.847647004
NOR,NOR,186,Norway,State,coastal_flood_100yr_jrc_2024,12859.852521968392,1019110.0162667148,5136993.174582463
DNK,DNK,69,Denmark,State,coastal_flood_100yr_jrc_2024,30705.487147791537,1147086.5097039016,5883745.467643925
POL,POL,198,Poland,State,coastal_flood_100yr_jrc_2024,28925.462941409904,6998876.868678058,38662133.262678176
DEU,DEU,93,Germany,State,coastal_flood_100yr_jrc_2024,195946.60903427668,14032551.906228645,84349307.87342775
IDN,IDN,272,Indonesia,State,coastal_flood_100yr_jrc_2024,535736.5276607954,81524741.71361367,274772145.5402546
HUN,HUN,113,Hungary,State,coastal_flood_100yr_jrc_2024,0.0,1702868.9151752773,9688337.90151386
EST,EST,78,Estonia,State,coastal_flood_100yr_jrc_2024,232.2033303507997,265271.9056398523,1354994.099118999
CHE,CHE,237,Switzerland,State,coastal_flood_100yr_jrc_2024,0.0,1593959.8593163334,8906116.805290278
IRL,IRL,119,Ireland,State,coastal_flood_100yr_jrc_2024,14253.815264950745,1189865.981893454,5179629.594122755
PLW,PLW,189,Palau,State,coastal_flood_100yr_jrc_2024,65.10023747360833,3758.9448553167817,16582.14631588159
MMR,MMR,273,Myanmar,State,coastal_flood_100yr_jrc_2024,971270.701306046,15460209.413522577,53005901.19039029
MYS,MYS,153,Malaysia,State,coastal_flood_100yr_jrc_2024,48816.370985420246,9438208.82051826,35021324.28789039
LAO,LAO,139,Lao People's Democratic Republic,State,coastal_flood_100yr_jrc_2024,0.0,2799992.107905541,7773197.463827402
KHM,KHM,44,Cambodia,State,coastal_flood_100yr_jrc_2024,6135.207574295271,6211089.468707345,17474504.368509203
SWE,SWE,236,Sweden,State,coastal_flood_100yr_jrc_2024,15203.217578624124,2091143.1934195124,10196581.003937244
CHN,CHN,53,China,State,coastal_flood_100yr_jrc_2024,14388758.006920405,277313542.14029336,1398053699.0500312
PHL,PHL,275,Philippines,State,coastal_flood_100yr_jrc_2024,1073552.98722467,38871077.878363885,111718450.53016572
BIH,BIH,34,Bosnia and Herzegovina,State,coastal_flood_100yr_jrc_2024,2.986305796431706,515895.4783679136,3178210.5685280324
TJK,TJK,239,Tajikistan,State,coastal_flood_100yr_jrc_2024,0.0,4387169.652760619,10514773.839167291
TKM,TKM,250,Turkmenistan,State,coastal_flood_100yr_jrc_2024,5787.551538993957,2720145.0325089544,7502559.663057942
KGZ,KGZ,138,Kyrgyzstan,State,coastal_flood_100yr_jrc_2024,0.0,2689810.5495979697,7128254.228270121
BLR,BLR,26,Belarus,State,coastal_flood_100yr_jrc_2024,0.0,1792217.4614245505,9086109.98586381
ARM,ARM,13,Armenia,State,coastal_flood_100yr_jrc_2024,0.0,692304.0339001681,2985294.80775838
