ISO3,name,ucode,child_population_exposed
SJM,Svalbard and Jan Mayen Islands,SJM_V1,0.0
COK,Cook Islands,COK_V1,612.6005900283362
NIU,Niue,NIU_V1,294.6557615058533
PRT,Azores Islands,PRT1_V1,28091.258822970358
PRT,Madeira Islands,PRT2_V1,27582.02910545871
UMI,Baker Island,UMI1_V1,0.0
UMI,Wake Island,UMI2_V1,0.0
UMI,Howland Island,UMI3_V1,0.0
UMI,Jarvis Island,UMI4_V1,0.0
UMI,Johnston Atoll,UMI5_V1,0.0
UMI,Kingman Reef,UMI6_V1,0.0
UMI,Midway Islands,UMI7_V1,0.0
UMI,Palmyra Atoll,UMI8_V1,0.0
UMI,Navassa Island,UMI9_V1,0.0
MNP,Northern Mariana Is. (USA),MNP_V1,8782.44215016689
PRI,Puerto Rico (USA),PRI_V1,484530.509614483
VEN,Bird Island,VEN1_V1,0.0
