iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
NPL,Nepal,175,fire_frequency_nasa_2001-2023,70001.98376830996,10250380.76052714,29642061.05948545
PRK,Democratic People's Republic of Korea,67,fire_frequency_nasa_2001-2023,54625.04263704654,5968303.777658398,26296509.136736847
BGD,Bangladesh,23,fire_frequency_nasa_2001-2023,218186.4474346029,58945359.964651965,172282053.56302592
KHM,Cambodia,44,fire_frequency_nasa_2001-2023,907876.0969316554,6211092.5286127385,17474540.400970142
TLS,Timor-Leste,242,fire_frequency_nasa_2001-2023,9699.650724909898,566005.354646166,1365431.7307479528
PAK,Pakistan,188,fire_frequency_nasa_2001-2023,1834580.6866848944,107779127.79824884,248748014.58764905
TJK,Tajikistan,239,fire_frequency_nasa_2001-2023,3080.493715405464,4387147.84155522,10514845.52782798
IND,India,115,fire_frequency_nasa_2001-2023,10488929.475574356,429150995.5582503,1424016600.807609
VUT,Vanuatu,277,fire_frequency_nasa_2001-2023,747.0185655653477,141923.15132746843,281242.4231341602
FJI,Fiji,276,fire_frequency_nasa_2001-2023,1077.9163862541318,294958.3078123287,881246.852758111
LKA,Sri Lanka,231,fire_frequency_nasa_2001-2023,22493.51552497965,6180118.469594925,22671472.23469053
PNG,Papua New Guinea,274,fire_frequency_nasa_2001-2023,97627.33181846056,3771717.307689776,9641609.880287604
IDN,Indonesia,272,fire_frequency_nasa_2001-2023,3335645.7850247347,81336362.74107812,274185492.4963244
MMR,Myanmar,273,fire_frequency_nasa_2001-2023,1075869.3639115884,15614928.256212045,53612937.6636784
EGY,Egypt,284,fire_frequency_nasa_2001-2023,448205.0694548845,43437952.37996511,114593960.95929933
TUN,Tunisia,248,fire_frequency_nasa_2001-2023,34329.727240771135,3505061.870340184,12121904.675066331
GMB,Gambia,90,fire_frequency_nasa_2001-2023,112184.55908890389,1289237.894744835,2704730.2334902566
UKR,Ukraine,254,fire_frequency_nasa_2001-2023,120996.68419684192,6430335.486416318,37050499.57614443
YEM,Yemen,269,fire_frequency_nasa_2001-2023,26908.474192481488,18647024.6574552,39242010.2353967
SYR,Syrian Arab Republic,238,fire_frequency_nasa_2001-2023,559550.995180592,8929442.599113205,24155971.04934034
MAR,Morocco,169,fire_frequency_nasa_2001-2023,47265.38035284076,11626168.771652278,37655876.32813552
TUR,Republic of Türkiye,249,fire_frequency_nasa_2001-2023,1449714.305378544,22274943.761860467,85384681.28799714
LBN,Lebanon,141,fire_frequency_nasa_2001-2023,3493.6380173293182,1848615.599675144,5708966.641701546
IRN,Iran (Islamic Republic of),117,fire_frequency_nasa_2001-2023,959300.8423204378,24294847.97704894,90460481.38508265
LBY,Libya,145,fire_frequency_nasa_2001-2023,39833.67387520809,2369493.490321166,7084741.747273151
JOR,Jordan,130,fire_frequency_nasa_2001-2023,6847.216322332621,4258511.621413205,11523774.929833747
IRQ,Iraq,118,fire_frequency_nasa_2001-2023,1499161.9168210577,19703403.36317587,45558484.665153936
PHL,Philippines,275,fire_frequency_nasa_2001-2023,464724.97997386166,38920803.287722126,111743114.05979204
ARM,Armenia,13,fire_frequency_nasa_2001-2023,808.5577139891393,692305.7649314527,2985307.448081244
DZA,Algeria,4,fire_frequency_nasa_2001-2023,384082.1438574775,16139589.60339114,45535927.47066099
TCD,Chad,50,fire_frequency_nasa_2001-2023,1596034.5641616436,10563114.843832966,19892914.389687844
SEN,Senegal,278,fire_frequency_nasa_2001-2023,643971.4741760981,8270845.143524748,18125219.403824627
CMR,Cameroon,45,fire_frequency_nasa_2001-2023,1594230.2730653614,13770790.335552186,28665184.905017003
TGO,Togo,243,fire_frequency_nasa_2001-2023,1201514.756502164,4352988.267601922,9371860.951289304
SLE,Sierra Leone,221,fire_frequency_nasa_2001-2023,2768083.179875797,3843552.9386017458,8475685.604939679
STP,Sao Tome and Principe,214,fire_frequency_nasa_2001-2023,0.0,104965.0344655906,216939.55984168025
MLI,Mali,155,fire_frequency_nasa_2001-2023,781096.6692863104,12887973.008701624,24125247.595852923
MRT,Mauritania,159,fire_frequency_nasa_2001-2023,19694.045950976488,2509825.9873942854,5054010.907431189
NER,Niger,181,fire_frequency_nasa_2001-2023,23877.83802675274,14400380.534801006,26793747.33668633
GIN,Guinea,106,fire_frequency_nasa_2001-2023,3534550.120091866,6962287.367714651,14521541.651037283
GNB,Guinea-Bissau,105,fire_frequency_nasa_2001-2023,166901.30747972723,991855.9531200428,2159573.759235356
LBR,Liberia,144,fire_frequency_nasa_2001-2023,428343.30937865016,2595882.198157564,5503269.313599072
GHA,Ghana,94,fire_frequency_nasa_2001-2023,2684568.688821596,14402609.794854682,33944101.02159335
CIV,Côte d'Ivoire,66,fire_frequency_nasa_2001-2023,1615979.4818978445,15023795.128891733,31498581.02338414
BFA,Burkina Faso,42,fire_frequency_nasa_2001-2023,576632.2498504395,11453005.34020428,23295774.938637994
ZMB,Zambia,270,fire_frequency_nasa_2001-2023,5556391.411529472,10196835.532348046,20958153.45714537
MWI,Malawi,152,fire_frequency_nasa_2001-2023,605716.0546376571,10332558.391291227,21364800.015051864
COD,Democratic Republic of the Congo,68,fire_frequency_nasa_2001-2023,22401507.30525572,56518034.82409519,107520673.14726505
TZA,United Republic of Tanzania,257,fire_frequency_nasa_2001-2023,2333606.99295675,33009937.951469254,66805323.48495578
ZWE,Zimbabwe,271,fire_frequency_nasa_2001-2023,1470157.2628361832,7945012.017134821,16496124.651762815
SWZ,Eswatini,235,fire_frequency_nasa_2001-2023,96947.34022390432,493249.9898904882,1236391.7812091997
MDG,Madagascar,150,fire_frequency_nasa_2001-2023,954810.2462890488,14049899.735137548,30746933.842093825
LSO,Lesotho,142,fire_frequency_nasa_2001-2023,139.36803020691664,953829.4465429004,2322762.20800154
MOZ,Mozambique,170,fire_frequency_nasa_2001-2023,6071521.671902896,17344880.61404176,33765407.903643
AGO,Angola,8,fire_frequency_nasa_2001-2023,6238878.703803444,18709836.695157874,36705172.49091578
