iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
xPI,193,Paracel Islands,Sovereignty unsettled,drought_spi_copernicus_1940-2024,0.0,86.26219733395412,419.141173358992
MAC,149,Macao,Special Region or Province,drought_spi_copernicus_1940-2024,108354.9626775017,108354.9626775017,600322.1460400795
xSI,230,Spratly Islands,Sovereignty unsettled,drought_spi_copernicus_1940-2024,0.0,0.0,0.0
ALB,3,Albania,State,drought_spi_copernicus_1940-2024,0.0,574038.0505175642,2785087.9997727955
TWN,288,Taiwan,Special Region or Province,drought_spi_copernicus_1940-2024,3201538.644202059,3311340.0643926505,23059969.365839865
HKG,281,Hong Kong,Special Region or Province,drought_spi_copernicus_1940-2024,809442.5101793043,809442.5960541784,6411027.602478379
AFG,1,Afghanistan,State,drought_spi_copernicus_1940-2024,5062058.016381352,20941093.538022943,42009524.65616982
AND,7,Andorra,State,drought_spi_copernicus_1940-2024,12304.818069803572,12304.818069803572,81412.69242718244
AGO,8,Angola,State,drought_spi_copernicus_1940-2024,17002808.825303208,18709836.92314363,36705526.6430082
ARM,13,Armenia,State,drought_spi_copernicus_1940-2024,190212.4351139104,692305.7649314527,2985307.448081244
ARE,255,United Arab Emirates,State,drought_spi_copernicus_1940-2024,0.0,2031447.7012183268,10654430.703493768
ATG,11,Antigua and Barbuda,State,drought_spi_copernicus_1940-2024,0.0,20562.64438284131,90905.73420599812
ARG,12,Argentina,State,drought_spi_copernicus_1940-2024,7279947.410007251,11994301.257800624,45121026.645194456
BEL,27,Belgium,State,drought_spi_copernicus_1940-2024,2300200.967760968,2300200.967760968,11730335.285806254
BDI,43,Burundi,State,drought_spi_copernicus_1940-2024,148558.63535511494,7250336.507113609,13877839.51055262
AUT,18,Austria,State,drought_spi_copernicus_1940-2024,1562150.0135317824,1562150.0135317822,9130600.381000314
AZE,19,Azerbaijan,State,drought_spi_copernicus_1940-2024,1941364.832214718,2747050.551596869,10305347.07231456
BFA,42,Burkina Faso,State,drought_spi_copernicus_1940-2024,120231.78898979562,11453005.340204276,23295774.938637994
BEN,29,Benin,State,drought_spi_copernicus_1940-2024,3756586.3804056495,6896624.15516794,14286070.048997458
BHR,21,Bahrain,State,drought_spi_copernicus_1940-2024,350984.29428527696,351169.7106405367,1562977.9903079737
BGD,23,Bangladesh,State,drought_spi_copernicus_1940-2024,43968111.45178796,58945359.85490561,172282053.34904954
BGR,41,Bulgaria,State,drought_spi_copernicus_1940-2024,532999.5386955795,1180648.3503514074,6741985.340096511
BIH,34,Bosnia and Herzegovina,State,drought_spi_copernicus_1940-2024,434163.3172659133,515900.2682900799,3178220.9781453223
BLR,26,Belarus,State,drought_spi_copernicus_1940-2024,1747246.9944851857,1792218.359636827,9086125.035881724
BHS,20,Bahamas,State,drought_spi_copernicus_1940-2024,8482.926057482237,89010.40666834546,378414.52378583257
BLZ,28,Belize,State,drought_spi_copernicus_1940-2024,0.0,133344.08516904924,403465.63457591634
BRA,37,Brazil,State,drought_spi_copernicus_1940-2024,23159936.001217555,49906109.47267371,207339589.87432373
BOL,33,Bolivia (Plurinational State of),State,drought_spi_copernicus_1940-2024,1757603.9008312626,4394806.995631343,12311327.341311123
BRB,24,Barbados,State,drought_spi_copernicus_1940-2024,0.0,59724.79769552406,271879.1577990625
BRN,40,Brunei Darussalam,State,drought_spi_copernicus_1940-2024,0.0,114778.39665357309,452552.1935456375
CAF,49,Central African Republic,State,drought_spi_copernicus_1940-2024,1433156.3036802025,2934123.207042857,5180632.931148907
BWA,35,Botswana,State,drought_spi_copernicus_1940-2024,127532.64638774072,937762.2783159384,2460012.0798487505
BTN,31,Bhutan,State,drought_spi_copernicus_1940-2024,20158.633741149388,208366.5742227184,789279.2014167488
AUS,17,Australia,State,drought_spi_copernicus_1940-2024,2120590.5617714785,5528342.114577034,25513813.69843833
CHE,237,Switzerland,State,drought_spi_copernicus_1940-2024,1545591.8555005598,1593960.8623976891,8906052.082603708
