child_population_exposed,adm0_ucode,level,ucode,child_population_total
0.0,AFG_V1,2,AFG_0027_0011_V1,52133.051841553584
0.0,AFG_V1,2,AFG_0027_0002_V1,19670.14530441364
0.0,AFG_V1,2,AFG_0027_0006_V1,30356.93178420973
0.0,AFG_V1,2,AFG_0027_0007_V1,22056.040111409548
0.0,AFG_V1,2,AFG_0027_0005_V1,3945.035206502559
0.0,AFG_V1,2,AFG_0027_0003_V1,33165.888270081545
0.0,AFG_V1,2,AFG_0027_0008_V1,91745.88656755172
0.0,AFG_V1,2,AFG_0027_0010_V1,68245.65603416173
0.0,AFG_V1,2,AFG_0027_0001_V1,42310.65404354123
0.0,AFG_V1,2,AFG_0027_0009_V1,16547.624303587276
0.0,AFG_V1,2,AFG_0027_0004_V1,29075.458293601103
0.0,AFG_V1,2,AFG_0028_0003_V1,7217.650605748215
0.0,AFG_V1,2,AFG_0028_0007_V1,11947.793957506148
0.0,AFG_V1,2,AFG_0028_0001_V1,4478.187535103338
0.0,AFG_V1,2,AFG_0028_0005_V1,3043.518932039597
0.0,AFG_V1,2,AFG_0028_0002_V1,12159.862500011926
0.0,AFG_V1,2,AFG_0028_0004_V1,13006.70657728744
0.0,AFG_V1,2,AFG_0028_0006_V1,6042.518194186951
0.0,AFG_V1,2,AFG_0029_0008_V1,35864.71129584827
0.0,AFG_V1,2,AFG_0029_0001_V1,85165.39484457269
0.0,AFG_V1,2,AFG_0029_0004_V1,36116.53289786413
0.0,AFG_V1,2,AFG_0029_0007_V1,21644.28725225364
0.0,AFG_V1,2,AFG_0029_0002_V1,25329.99171911601
0.0,AFG_V1,2,AFG_0029_0009_V1,153097.49649385436
0.0,AFG_V1,2,AFG_0029_0006_V1,23721.013817359908
0.0,AFG_V1,2,AFG_0029_0010_V1,95773.89678055396
0.0,AFG_V1,2,AFG_0029_0005_V1,60143.527455113806
0.0,AFG_V1,2,AFG_0029_0003_V1,23359.00077352068
0.0,AFG_V1,2,AFG_0030_0003_V1,25876.16282444947
0.0,AFG_V1,2,AFG_0030_0004_V1,39035.53383277146
0.0,AFG_V1,2,AFG_0030_0007_V1,6983.342331859966
0.0,AFG_V1,2,AFG_0030_0006_V1,27632.70156399385
0.0,AFG_V1,2,AFG_0030_0005_V1,16112.631174187332
0.0,AFG_V1,2,AFG_0030_0002_V1,65431.01046391935
0.0,AFG_V1,2,AFG_0030_0001_V1,36239.12751510648
0.0,AFG_V1,2,AFG_0031_0001_V1,40087.45542371552
0.0,AFG_V1,2,AFG_0031_0003_V1,68194.94103862587
0.0,AFG_V1,2,AFG_0031_0004_V1,43584.78042320656
0.0,AFG_V1,2,AFG_0031_0002_V1,45222.392615895165
0.0,AFG_V1,2,AFG_0031_0007_V1,68490.70767859818
0.0,AFG_V1,2,AFG_0031_0006_V1,42394.65786656181
0.0,AFG_V1,2,AFG_0031_0005_V1,93230.3032869046
0.0,AFG_V1,2,AFG_0032_0009_V1,45582.477243935005
0.0,AFG_V1,2,AFG_0032_0016_V1,40855.31501354996
0.0,AFG_V1,2,AFG_0032_0004_V1,126898.73825267747
0.0,AFG_V1,2,AFG_0032_0015_V1,12298.72084414299
0.0,AFG_V1,2,AFG_0032_0005_V1,16526.294529843566
0.0,AFG_V1,2,AFG_0032_0008_V1,4903.525650689825
0.0,AFG_V1,2,AFG_0032_0007_V1,26268.587800152305
0.0,AFG_V1,2,AFG_0032_0002_V1,11215.7407602489
0.0,AFG_V1,2,AFG_0032_0011_V1,20665.85206008769
0.0,AFG_V1,2,AFG_0032_0013_V1,35478.206903709084
0.0,AFG_V1,2,AFG_0032_0001_V1,21895.71353427793
0.0,AFG_V1,2,AFG_0032_0017_V1,86302.42232533578
0.0,AFG_V1,2,AFG_0032_0012_V1,13293.30053607702
0.0,AFG_V1,2,AFG_0032_0014_V1,28746.089251263274
0.0,AFG_V1,2,AFG_0032_0003_V1,4922.884797874735
0.0,AFG_V1,2,AFG_0032_0006_V1,16411.73455875031
0.0,AFG_V1,2,AFG_0032_0010_V1,17164.48941057831
0.0,AFG_V1,2,AFG_0033_0001_V1,3591.30488709879
0.0,AFG_V1,2,AFG_0033_0005_V1,20085.09042834688
0.0,AFG_V1,2,AFG_0033_0007_V1,33574.23817598105
0.0,AFG_V1,2,AFG_0033_0006_V1,17880.72852672881
0.0,AFG_V1,2,AFG_0033_0004_V1,11905.6477830694
0.0,AFG_V1,2,AFG_0033_0002_V1,20041.0527264607
0.0,AFG_V1,2,AFG_0033_0003_V1,26832.19086053924
0.0,AFG_V1,2,AFG_0034_0006_V1,6123.748918433371
0.0,AFG_V1,2,AFG_0034_0010_V1,28174.84981674993
0.0,AFG_V1,2,AFG_0034_0001_V1,25544.97720160791
0.0,AFG_V1,2,AFG_0034_0009_V1,14207.028479898125
0.0,AFG_V1,2,AFG_0034_0004_V1,16664.228407681338
0.0,AFG_V1,2,AFG_0034_0007_V1,49831.94550386448
0.0,AFG_V1,2,AFG_0034_0008_V1,14792.671534271509
0.0,AFG_V1,2,AFG_0034_0002_V1,30634.994726721096
0.0,AFG_V1,2,AFG_0034_0005_V1,17774.04106432813
0.0,AFG_V1,2,AFG_0034_0003_V1,11016.049618976804
0.0,AFG_V1,2,AFG_0034_0011_V1,30962.09910255907
0.0,ALB_V1,2,ALB_0001_0003_V1,1026.6327039219868
0.0,ALB_V1,2,ALB_0001_0004_V1,1738.535560528147
0.0,ALB_V1,2,ALB_0001_0002_V1,4680.931228382363
0.0,ALB_V1,2,ALB_0001_0005_V1,6826.3344701343685
0.0,ALB_V1,2,ALB_0002_0002_V1,12930.063871899596
0.0,ALB_V1,2,ALB_0002_0001_V1,5290.354628561527
14016.87502732904,ALB_V1,2,ALB_0003_0001_V1,45131.71209127751
