ucode,max,mean,median,min
AFG_0016_0007_V1,0.0,0.0,0.0,0.0
AFG_0016_0001_V1,0.0,0.0,0.0,0.0
AFG_0017_0001_V1,0.0,0.0,0.0,0.0
AFG_0017_0006_V1,0.0,0.0,0.0,0.0
AFG_0017_0002_V1,0.0,0.0,0.0,0.0
AFG_0017_0012_V1,0.0,0.0,0.0,0.0
AFG_0017_0004_V1,0.0,0.0,0.0,0.0
AFG_0017_0005_V1,0.0,0.0,0.0,0.0
AFG_0017_0013_V1,0.0,0.0,0.0,0.0
AFG_0017_0007_V1,0.0,0.0,0.0,0.0
AFG_0017_0003_V1,0.0,0.0,0.0,0.0
AFG_0017_0009_V1,0.0,0.0,0.0,0.0
AFG_0017_0010_V1,0.0,0.0,0.0,0.0
AFG_0017_0011_V1,0.0,0.0,0.0,0.0
AFG_0017_0008_V1,0.0,0.0,0.0,0.0
AFG_0018_0006_V1,0.0,0.0,0.0,0.0
AFG_0018_0008_V1,0.0,0.0,0.0,0.0
AFG_0018_0015_V1,0.0,0.0,0.0,0.0
AFG_0018_0010_V1,0.0,0.0,0.0,0.0
AFG_0018_0002_V1,0.0,0.0,0.0,0.0
AFG_0018_0011_V1,0.0,0.0,0.0,0.0
AFG_0018_0007_V1,0.0,0.0,0.0,0.0
AFG_0018_0004_V1,0.0,0.0,0.0,0.0
AFG_0018_0009_V1,0.0,0.0,0.0,0.0
AFG_0018_0012_V1,0.0,0.0,0.0,0.0
AFG_0018_0014_V1,0.0,0.0,0.0,0.0
AFG_0018_0001_V1,0.0,0.0,0.0,0.0
AFG_0018_0003_V1,0.0,0.0,0.0,0.0
AFG_0018_0013_V1,0.0,0.0,0.0,0.0
AFG_0018_0005_V1,0.0,0.0,0.0,0.0
AFG_0019_0002_V1,0.0,0.0,0.0,0.0
AFG_0019_0003_V1,0.0,0.0,0.0,0.0
AFG_0019_0007_V1,0.0,0.0,0.0,0.0
AFG_0019_0006_V1,0.0,0.0,0.0,0.0
AFG_0019_0001_V1,0.0,0.0,0.0,0.0
AFG_0019_0004_V1,0.0,0.0,0.0,0.0
AFG_0019_0005_V1,0.0,0.0,0.0,0.0
AFG_0020_0004_V1,0.0,0.0,0.0,0.0
AFG_0020_0005_V1,0.0,0.0,0.0,0.0
AFG_0020_0003_V1,0.0,0.0,0.0,0.0
AFG_0020_0001_V1,0.0,0.0,0.0,0.0
AFG_0020_0002_V1,0.0,0.0,0.0,0.0
AFG_0021_0001_V1,0.0,0.0,0.0,0.0
AFG_0021_0004_V1,0.0,0.0,0.0,0.0
AFG_0021_0007_V1,0.0,0.0,0.0,0.0
AFG_0021_0006_V1,0.0,0.0,0.0,0.0
AFG_0021_0003_V1,0.0,0.0,0.0,0.0
AFG_0021_0005_V1,0.0,0.0,0.0,0.0
AFG_0021_0002_V1,0.0,0.0,0.0,0.0
AFG_0022_0003_V1,0.0,0.0,0.0,0.0
AFG_0022_0002_V1,0.0,0.0,0.0,0.0
AFG_0022_0006_V1,0.0,0.0,0.0,0.0
AFG_0022_0001_V1,0.0,0.0,0.0,0.0
AFG_0022_0004_V1,0.0,0.0,0.0,0.0
AFG_0022_0008_V1,0.0,0.0,0.0,0.0
AFG_0022_0005_V1,0.0,0.0,0.0,0.0
AFG_0022_0007_V1,0.0,0.0,0.0,0.0
AFG_0022_0009_V1,0.0,0.0,0.0,0.0
AFG_0023_0003_V1,0.0,0.0,0.0,0.0
AFG_0023_0022_V1,0.0,0.0,0.0,0.0
AFG_0023_0013_V1,0.0,0.0,0.0,0.0
AFG_0023_0021_V1,0.0,0.0,0.0,0.0
AFG_0023_0002_V1,0.0,0.0,0.0,0.0
AFG_0023_0004_V1,0.0,0.0,0.0,0.0
AFG_0023_0012_V1,0.0,0.0,0.0,0.0
AFG_0023_0001_V1,0.0,0.0,0.0,0.0
AFG_0023_0018_V1,0.0,0.0,0.0,0.0
AFG_0023_0010_V1,0.0,0.0,0.0,0.0
AFG_0023_0007_V1,0.0,0.0,0.0,0.0
AFG_0023_0009_V1,0.0,0.0,0.0,0.0
AFG_0023_0006_V1,0.0,0.0,0.0,0.0
AFG_0023_0008_V1,0.0,0.0,0.0,0.0
AFG_0023_0015_V1,0.0,0.0,0.0,0.0
AFG_0023_0005_V1,0.0,0.0,0.0,0.0
AFG_0023_0014_V1,0.0,0.0,0.0,0.0
AFG_0023_0016_V1,0.0,0.0,0.0,0.0
AFG_0023_0019_V1,0.0,0.0,0.0,0.0
AFG_0023_0011_V1,0.0,0.0,0.0,0.0
AFG_0023_0017_V1,0.0,0.0,0.0,0.0
AFG_0023_0020_V1,0.0,0.0,0.0,0.0
AFG_0024_0003_V1,0.0,0.0,0.0,0.0
AFG_0024_0002_V1,0.0,0.0,0.0,0.0
AFG_0024_0001_V1,0.0,0.0,0.0,0.0
AFG_0024_0004_V1,0.0,0.0,0.0,0.0
AFG_0024_0005_V1,0.0,0.0,0.0,0.0
AFG_0025_0002_V1,0.0,0.0,0.0,0.0
AFG_0025_0005_V1,0.0,0.0,0.0,0.0
AFG_0025_0007_V1,0.0,0.0,0.0,0.0
AFG_0025_0001_V1,0.0,0.0,0.0,0.0
AFG_0025_0003_V1,0.0,0.0,0.0,0.0
AFG_0025_0004_V1,0.0,0.0,0.0,0.0
AFG_0025_0008_V1,0.0,0.0,0.0,0.0
AFG_0025_0006_V1,0.0,0.0,0.0,0.0
AFG_0026_0004_V1,0.0,0.0,0.0,0.0
AFG_0026_0017_V1,0.0,0.0,0.0,0.0
AFG_0026_0008_V1,0.0,0.0,0.0,0.0
AFG_0026_0010_V1,0.0,0.0,0.0,0.0
AFG_0026_0003_V1,0.0,0.0,0.0,0.0
AFG_0026_0018_V1,0.0,0.0,0.0,0.0
AFG_0026_0001_V1,0.0,0.0,0.0,0.0
AFG_0026_0002_V1,0.0,0.0,0.0,0.0
AFG_0026_0019_V1,0.0,0.0,0.0,0.0
AFG_0026_0013_V1,0.0,0.0,0.0,0.0
AFG_0026_0007_V1,0.0,0.0,0.0,0.0
AFG_0026_0015_V1,0.0,0.0,0.0,0.0
AFG_0026_0005_V1,0.0,0.0,0.0,0.0
AFG_0026_0016_V1,0.0,0.0,0.0,0.0
AFG_0026_0014_V1,0.0,0.0,0.0,0.0
AFG_0026_0012_V1,0.0,0.0,0.0,0.0
AFG_0026_0009_V1,0.0,0.0,0.0,0.0
AFG_0026_0006_V1,0.0,0.0,0.0,0.0
AFG_0026_0011_V1,0.0,0.0,0.0,0.0
AFG_0027_0011_V1,0.0,0.0,0.0,0.0
AFG_0027_0002_V1,0.0,0.0,0.0,0.0
AFG_0027_0006_V1,0.0,0.0,0.0,0.0
AFG_0027_0007_V1,0.0,0.0,0.0,0.0
AFG_0027_0005_V1,0.0,0.0,0.0,0.0
AFG_0027_0003_V1,0.0,0.0,0.0,0.0
AFG_0027_0008_V1,0.0,0.0,0.0,0.0
AFG_0027_0010_V1,0.0,0.0,0.0,0.0
AFG_0027_0001_V1,0.0,0.0,0.0,0.0
AFG_0027_0009_V1,0.0,0.0,0.0,0.0
AFG_0027_0004_V1,0.0,0.0,0.0,0.0
AFG_0028_0003_V1,0.0,0.0,0.0,0.0
